STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/25/1999,72,77,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/26/1999,78,85,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/27/1999,76,84,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/28/1999,76,86,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/29/1999,78,88,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/30/1999,65,69,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/31/1999,67,73,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/1/1999,72,81,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/2/1999,72,82,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/3/1999,72,82,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/4/1999,76,79,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/5/1999,76,79,73
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/6/1999,,83,74
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/7/1999,,85,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/8/1999,75,85,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/9/1999,75,84,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/10/1999,72,82,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/11/1999,67,79,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/12/1999,68,82,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/13/1999,66,78,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/14/1999,71,81,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/15/1999,69,71,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/16/1999,65,69,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/17/1999,63,73,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/18/1999,62,75,49
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/19/1999,61,73,49
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/20/1999,66,77,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/21/1999,59,67,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/22/1999,56,64,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/23/1999,59,72,45
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/24/1999,63,77,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/25/1999,68,81,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",9/26/1999,68,77,59
